key,label,description,parent_category,
abide,Constitutional adherence,"Requires public officials or individuals to obey, or abide by, the constitution","Rights and Duties/General Duties
",
access,Territory accession,Allows accession or incorporation of new territory outside the country into an existing country,"Federalism/Secession and Accession
",
acfree,Academic freedom,"Allows scholars to research, teach, and publish their research without interference from the state","Rights and Duties/Civil and Political Rights
",
achighed,Higher education,Guarantees individuals equal access to higher education,"Rights and Duties/Social Rights
",
age,Age,"Relates to a person's age, the length of time the person has lived, or status as a child, juvenile, minor, senior, or elder",Culture and Identity,
amend,Constitution amendment,"Mechanisms to formally change the text of the constitution, including constitutional amendment, reform, or replacement","Amendment
",
amparo,Amparo,Allows individuals to request judicial review of government actions they believe have violated or infringed their rights,"Judiciary/Judicial Review
Rights and Duties/Enforcement
Rights and Duties/Legal Procedural Rights
",
anthem,Anthem,Establishes the official anthem or song,"Principles and Symbols/State Definition and Symbols
",
appeal,Appeal,Allows individuals to appeal a judicial decision in a higher or appellate court if they are not satisfied with the outcome in the court of first instance,"Rights and Duties/Legal Procedural Rights
",
arms,Bear arms,Allows individuals to possess firearms and other weapons,"Rights and Duties/Civil and Political Rights
",
artists,Art,Reference to art or artists,"Principles and Symbols/Basic Principles
",
assem,Freedom of assembly,Allows individuals to gather in groups or protest in public spaces,"Rights and Duties/Civil and Political Rights
",
assets,Asset disclosure,Requires government officials to disclose their income or the value of their assets,Principles and Symbols,
assoc,Freedom of association,Allows individuals to form or join a group or association,"Rights and Duties/Civil and Political Rights
",
asylum,Stateless persons,"Requires protection for stateless persons, asylum seekers, or refugees","Rights and Duties/Equality, Gender, and Minority Rights
",
atgen,Attorney general,"Establishes an attorney general, public prosecutor, or prosecutor general to serve as the principal legal official, represent the government in legal proceedings, and give legal advice to the government","Executive/Structure of the Executive
",
attend,Legislator attendance,Requires legislators to attend legislative sessions or votes,"Legislature/Legislative Rules and Restrictions
",
auth,Source of constitutional authority,Establishes the agent with the authority to install the constitution or from which the state derives its ultimate authority ,"Principles and Symbols/Basic Principles
",
balbudgt,Balanced budget,Requires that the government pass a balanced budget in which incoming revenue meets or exceeds the value of the government's expenditures in a fiscal year,"Legislature/Special Legislation
",
bank,Bank,"Establishes a bank that formulates monetary policy, issues currency, regulates commercial banks, and provides financial and banking services","Regulation and Oversight/Independent Agencies and Commissions
",
binding,Binding effect of rights,Establishes whether or not private individuals are bound by rights,"Rights and Duties/General Duties
",
budget,Budget law,"Establishes a special legislative process for the budget, which is legislation that lays out the revenues and expenditures for some period of time, usually in years","Legislature/Special Legislation
",
busines,Business,Allows individuals to establish for-profit commercial endeavors,"Rights and Duties/Economic Rights
",
cabinet,Cabinet/ministers,Establishes the cabinet or council of ministers as a body of officials who act as the heads of agencies or ministries and advise the head of state or head of government,"Executive/Cabinet
Executive/Structure of the Executive
",
camppubf,Campaign financing,Rules that political parties and candidates must follow in financing electoral campaigns,"Elections/Electoral Rules and Regulations
", ban on receiving funds from certain sources
capital,Capital,Establishes the capital city,"Principles and Symbols/State Definition and Symbols
",
cappun,Death penalty,Forbids use of the death penalty as a punishment,"Rights and Duties/Physical Integrity Rights
",
cc,Counter corruption commission,Establishes an independent commission to investigate corruption,"Regulation and Oversight/Independent Agencies and Commissions
",
census,Census,Provides for the enumeration of residents periodically,"Elections/Electoral Rules and Regulations
",
childpro,Children,"Affords children special benefits or protections, including children's access to education or healthcare and freedom from abuse","Rights and Duties/Civil and Political Rights
",
childwrk,Child employment,Prohibits or limits child labor to protect children from exploitation in the workplace,"Rights and Duties/Social Rights
",
citdep,Citizen deportation,Allows or prohibits deportation of citizens or residents,"Culture and Identity/Citizenship
",
citizen,Birthright citizenship,"Grants automatic citizenship at birth; may relate to the citizenship or residency of one or both parents, or to the location of an individual's birth","Culture and Identity/Citizenship
",
citren,Citizenship renunciation,Allows individuals to renounce their citizenship ,"Culture and Identity/Citizenship
Rights and Duties/Civil and Political Rights
",
citrev,Citizenship revocation,"Allows or prohibits revocation of citizenship, whereby a person is stripped of his or her citizenship","Culture and Identity/Citizenship
",
civil,Civil service recruitment,"Requires that civil servants are recruited and promoted on the basis of merit through standardized exams or credentials; protects against patronage, nepotism, and corruption in the civil service","Principles and Symbols/Basic Principles
",
civilmil,Defense minister,"Establishes the qualifications that an individual must meet in order to serve as the defense minister, particularly being a civilian or a member of the military; specification that there be civilian control of the military","Executive/Military
",
civmar,Civil marriage,Recognizes marriage performed by administrative official,"Rights and Duties/Civil and Political Rights
",
colony,Colonies,"Defines the status of occupied territories including colonies, protectorates, or territories","Principles and Symbols/Basic Principles
",
color,Skin color,Relates to a person's physical characteristic of skin color,Culture and Identity,
comchief,Commander in chief,Establishes the person who has ultimate control of the armed forces,"Executive/Executive Independence and Power
Executive/Military
",
commit,Legislative committees,"Defines existence, formation, or procedures of legislative committees","Legislature/Structure of the Legislature
",
